scope,condition,comparison,pairs,mean_difference,improved,same,worse
by_condition,audio_boundary,color_only_minus_full,30,0.08333333333333333,8,20,2
by_condition,low_boundary,color_only_minus_full,30,0.16666666666666666,12,16,2
by_condition,temporal_boundary,color_only_minus_full,30,0.1,7,22,1
by_condition,visual_boundary,color_only_minus_full,30,0.23333333333333334,14,16,0
by_condition,audio_boundary,color_only_minus_shape_only,30,0.1,10,17,3
by_condition,low_boundary,color_only_minus_shape_only,30,0.16666666666666666,11,18,1
by_condition,temporal_boundary,color_only_minus_shape_only,30,0.11666666666666667,8,21,1
by_condition,visual_boundary,color_only_minus_shape_only,30,0.13333333333333333,11,16,3
by_condition,audio_boundary,shape_only_minus_full,30,-0.016666666666666666,6,17,7
by_condition,low_boundary,shape_only_minus_full,30,0.0,5,20,5
by_condition,temporal_boundary,shape_only_minus_full,30,-0.016666666666666666,5,19,6
by_condition,visual_boundary,shape_only_minus_full,30,0.1,9,18,3
overall,all,color_only_minus_full,120,0.14583333333333334,41,74,5
overall,all,color_only_minus_shape_only,120,0.12916666666666668,40,72,8
overall,all,shape_only_minus_full,120,0.016666666666666666,25,74,21
