feature_variant,condition,total,correct,accuracy
color_only,audio_boundary,60,56,0.9333333333333333
color_only,low_boundary,60,55,0.9166666666666666
color_only,temporal_boundary,60,58,0.9666666666666667
color_only,visual_boundary,60,54,0.9
full,audio_boundary,60,51,0.85
full,low_boundary,60,47,0.7833333333333333
full,temporal_boundary,60,52,0.8666666666666667
full,visual_boundary,60,40,0.6666666666666666
shape_only,audio_boundary,60,50,0.8333333333333334
shape_only,low_boundary,60,48,0.8
shape_only,temporal_boundary,60,51,0.85
shape_only,visual_boundary,60,44,0.7333333333333333
size_only,audio_boundary,60,49,0.8166666666666667
size_only,low_boundary,60,44,0.7333333333333333
size_only,temporal_boundary,60,49,0.8166666666666667
size_only,visual_boundary,60,43,0.7166666666666667
