difficulty_level,difficulty_name,feature_variant,size_scene_variant,comparison,pairs,mean_difference,improved,same,worse
5,L5_color_only,color_only,,audio_boundary_minus_low_boundary,30,0.016666666666666666,4,23,3
5,L5_color_only,color_only,,temporal_boundary_minus_low_boundary,30,0.05,4,25,1
5,L5_color_only,color_only,,visual_boundary_minus_low_boundary,30,-0.016666666666666666,1,27,2
5,L5_full,full,,audio_boundary_minus_low_boundary,30,0.06666666666666667,5,24,1
5,L5_full,full,,temporal_boundary_minus_low_boundary,30,0.08333333333333333,6,23,1
5,L5_full,full,,visual_boundary_minus_low_boundary,30,-0.11666666666666667,1,21,8
5,L5_shape_only,shape_only,,audio_boundary_minus_low_boundary,30,0.03333333333333333,3,26,1
5,L5_shape_only,shape_only,,temporal_boundary_minus_low_boundary,30,0.05,3,27,0
5,L5_shape_only,shape_only,,visual_boundary_minus_low_boundary,30,-0.06666666666666667,1,24,5
5,L5_size_only,size_only,,audio_boundary_minus_low_boundary,30,0.08333333333333333,4,26,0
5,L5_size_only,size_only,,temporal_boundary_minus_low_boundary,30,0.08333333333333333,5,24,1
5,L5_size_only,size_only,,visual_boundary_minus_low_boundary,30,-0.016666666666666666,5,18,7
