scope,condition,comparison,pairs,mean_difference,improved,same,worse
by_condition,audio_boundary,color_only_minus_full,30,0.08333333333333333,8,20,2
by_condition,low_boundary,color_only_minus_full,30,0.13333333333333333,10,18,2
by_condition,temporal_boundary,color_only_minus_full,30,0.1,8,21,1
by_condition,visual_boundary,color_only_minus_full,30,0.23333333333333334,14,16,0
by_condition,audio_boundary,color_only_minus_shape_only,30,0.1,10,17,3
by_condition,low_boundary,color_only_minus_shape_only,30,0.11666666666666667,9,19,2
by_condition,temporal_boundary,color_only_minus_shape_only,30,0.11666666666666667,9,20,1
by_condition,visual_boundary,color_only_minus_shape_only,30,0.16666666666666666,12,15,3
by_condition,audio_boundary,shape_only_minus_full,30,-0.016666666666666666,5,19,6
by_condition,low_boundary,shape_only_minus_full,30,0.016666666666666666,6,19,5
by_condition,temporal_boundary,shape_only_minus_full,30,-0.016666666666666666,6,17,7
by_condition,visual_boundary,shape_only_minus_full,30,0.06666666666666667,8,18,4
by_condition,audio_boundary,size_only_minus_color_only,30,-0.11666666666666667,3,20,7
by_condition,low_boundary,size_only_minus_color_only,30,-0.18333333333333332,1,19,10
by_condition,temporal_boundary,size_only_minus_color_only,30,-0.15,1,22,7
by_condition,visual_boundary,size_only_minus_color_only,30,-0.18333333333333332,2,16,12
by_condition,audio_boundary,size_only_minus_full,30,-0.03333333333333333,8,15,7
by_condition,low_boundary,size_only_minus_full,30,-0.05,8,13,9
by_condition,temporal_boundary,size_only_minus_full,30,-0.05,7,16,7
by_condition,visual_boundary,size_only_minus_full,30,0.05,10,13,7
by_condition,audio_boundary,size_only_minus_shape_only,30,-0.016666666666666666,6,19,5
by_condition,low_boundary,size_only_minus_shape_only,30,-0.06666666666666667,6,17,7
by_condition,temporal_boundary,size_only_minus_shape_only,30,-0.03333333333333333,5,20,5
by_condition,visual_boundary,size_only_minus_shape_only,30,-0.016666666666666666,8,14,8
overall,all,color_only_minus_full,120,0.1375,40,75,5
overall,all,color_only_minus_shape_only,120,0.125,40,71,9
overall,all,shape_only_minus_full,120,0.0125,25,73,22
overall,all,size_only_minus_color_only,120,-0.15833333333333333,7,77,36
overall,all,size_only_minus_full,120,-0.020833333333333332,33,57,30
overall,all,size_only_minus_shape_only,120,-0.03333333333333333,25,70,25
