source_file,dataset_name,dataset_version,difficulty_level,difficulty_name,feature_variant,size_scene_variant,base_sample_id,comparison,condition,baseline_condition,condition_accuracy,baseline_accuracy,difference,direction
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,1,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,1,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,1,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,2,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,0.5,0.5,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,2,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,0.5,0.5,improved
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,2,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,0.5,0.5,improved
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,3,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,3,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,3,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1_size_stress_L5_size_only_large_few,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,4,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
