size_scene_variant,condition,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
large_few,audio_boundary,10,0.85,0.7,0.15000000000000002,0.3,0.0,7,3,0
large_few,low_boundary,10,0.8,0.7,0.10000000000000009,0.2,0.1,7,2,1
large_few,temporal_boundary,10,0.95,0.9,0.04999999999999993,0.1,0.0,9,1,0
large_few,visual_boundary,10,0.9,0.8,0.09999999999999998,0.2,0.0,8,2,0
large_many,audio_boundary,10,0.65,0.6,0.050000000000000044,0.1,0.3,6,1,3
large_many,low_boundary,10,0.6,0.5,0.09999999999999998,0.2,0.3,5,2,3
large_many,temporal_boundary,10,0.65,0.6,0.050000000000000044,0.1,0.3,6,1,3
large_many,visual_boundary,10,0.65,0.6,0.050000000000000044,0.1,0.3,6,1,3
small_few,audio_boundary,10,0.85,0.8,0.04999999999999993,0.1,0.1,8,1,1
small_few,low_boundary,10,0.85,0.7,0.15000000000000002,0.3,0.0,7,3,0
small_few,temporal_boundary,10,0.85,0.7,0.15000000000000002,0.3,0.0,7,3,0
small_few,visual_boundary,10,0.8,0.7,0.10000000000000009,0.2,0.1,7,2,1
small_many,audio_boundary,10,0.65,0.6,0.050000000000000044,0.1,0.3,6,1,3
small_many,low_boundary,10,0.55,0.5,0.050000000000000044,0.1,0.4,5,1,4
small_many,temporal_boundary,10,0.65,0.6,0.050000000000000044,0.1,0.3,6,1,3
small_many,visual_boundary,10,0.6,0.5,0.09999999999999998,0.2,0.3,5,2,3
