difficulty_level,difficulty_name,condition,category,count,proportion
5,L5_size_only_large_few,audio_boundary,both_correct,7,0.7
5,L5_size_only_large_few,audio_boundary,original_correct_swapped_wrong,3,0.3
5,L5_size_only_large_few,low_boundary,both_correct,7,0.7
5,L5_size_only_large_few,low_boundary,both_wrong,1,0.1
5,L5_size_only_large_few,low_boundary,original_correct_swapped_wrong,2,0.2
5,L5_size_only_large_few,temporal_boundary,both_correct,9,0.9
5,L5_size_only_large_few,temporal_boundary,original_correct_swapped_wrong,1,0.1
5,L5_size_only_large_few,visual_boundary,both_correct,8,0.8
5,L5_size_only_large_few,visual_boundary,original_wrong_swapped_correct,2,0.2
5,L5_size_only_large_many,audio_boundary,both_correct,6,0.6
5,L5_size_only_large_many,audio_boundary,both_wrong,3,0.3
5,L5_size_only_large_many,audio_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_large_many,low_boundary,both_correct,5,0.5
5,L5_size_only_large_many,low_boundary,both_wrong,3,0.3
5,L5_size_only_large_many,low_boundary,original_correct_swapped_wrong,1,0.1
5,L5_size_only_large_many,low_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_large_many,temporal_boundary,both_correct,6,0.6
5,L5_size_only_large_many,temporal_boundary,both_wrong,3,0.3
5,L5_size_only_large_many,temporal_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_large_many,visual_boundary,both_correct,6,0.6
5,L5_size_only_large_many,visual_boundary,both_wrong,3,0.3
5,L5_size_only_large_many,visual_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_few,audio_boundary,both_correct,8,0.8
5,L5_size_only_small_few,audio_boundary,both_wrong,1,0.1
5,L5_size_only_small_few,audio_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_few,low_boundary,both_correct,7,0.7
5,L5_size_only_small_few,low_boundary,original_correct_swapped_wrong,2,0.2
5,L5_size_only_small_few,low_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_few,temporal_boundary,both_correct,7,0.7
5,L5_size_only_small_few,temporal_boundary,original_correct_swapped_wrong,2,0.2
5,L5_size_only_small_few,temporal_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_few,visual_boundary,both_correct,7,0.7
5,L5_size_only_small_few,visual_boundary,both_wrong,1,0.1
5,L5_size_only_small_few,visual_boundary,original_wrong_swapped_correct,2,0.2
5,L5_size_only_small_many,audio_boundary,both_correct,6,0.6
5,L5_size_only_small_many,audio_boundary,both_wrong,3,0.3
5,L5_size_only_small_many,audio_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_many,low_boundary,both_correct,5,0.5
5,L5_size_only_small_many,low_boundary,both_wrong,4,0.4
5,L5_size_only_small_many,low_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_many,temporal_boundary,both_correct,6,0.6
5,L5_size_only_small_many,temporal_boundary,both_wrong,3,0.3
5,L5_size_only_small_many,temporal_boundary,original_wrong_swapped_correct,1,0.1
5,L5_size_only_small_many,visual_boundary,both_correct,5,0.5
5,L5_size_only_small_many,visual_boundary,both_wrong,3,0.3
5,L5_size_only_small_many,visual_boundary,original_wrong_swapped_correct,2,0.2
