source_file,dataset_version,difficulty_level,difficulty_name,feature_variant,size_scene_variant,target_size_condition,distractor_count_condition,condition,video_id,category,original_prediction,swapped_prediction
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,low_boundary,l5_size_only_large_few_sample_001_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,temporal_boundary,l5_size_only_large_few_sample_001_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,visual_boundary,l5_size_only_large_few_sample_001_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,audio_boundary,l5_size_only_large_few_sample_001_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,low_boundary,l5_size_only_large_few_sample_002_low_boundary.mp4,original_correct_swapped_wrong,A,A
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,temporal_boundary,l5_size_only_large_few_sample_002_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,visual_boundary,l5_size_only_large_few_sample_002_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,audio_boundary,l5_size_only_large_few_sample_002_audio_boundary.mp4,original_correct_swapped_wrong,A,A
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,low_boundary,l5_size_only_large_few_sample_003_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_size_stress_L5_size_only_large_few/20260612_162433/raw_results.jsonl,l5_feature_ablation_v1,5,L5_size_only_large_few,size_only,large_few,large,few,temporal_boundary,l5_size_only_large_few_sample_003_temporal_boundary.mp4,both_correct,A,B
