difficulty_level,condition,total,correct,accuracy
1,audio_boundary,60,60,1.0
1,low_boundary,60,60,1.0
1,temporal_boundary,60,60,1.0
1,visual_boundary,60,57,0.95
2,audio_boundary,60,57,0.95
2,low_boundary,60,56,0.9333333333333333
2,temporal_boundary,60,57,0.95
2,visual_boundary,60,47,0.7833333333333333
3,audio_boundary,60,60,1.0
3,low_boundary,60,59,0.9833333333333333
3,temporal_boundary,60,59,0.9833333333333333
3,visual_boundary,60,56,0.9333333333333333
4,audio_boundary,60,59,0.9833333333333333
4,low_boundary,60,59,0.9833333333333333
4,temporal_boundary,60,59,0.9833333333333333
4,visual_boundary,60,51,0.85
5,audio_boundary,60,52,0.8666666666666667
5,low_boundary,60,50,0.8333333333333334
5,temporal_boundary,60,53,0.8833333333333333
5,visual_boundary,60,45,0.75
6,audio_boundary,60,52,0.8666666666666667
6,low_boundary,60,49,0.8166666666666667
6,temporal_boundary,60,53,0.8833333333333333
6,visual_boundary,60,48,0.8
