difficulty_level,difficulty_name,feature_variant,size_scene_variant,comparison,pairs,mean_difference,improved,same,worse
1,level_1_simple,,,audio_boundary_minus_low_boundary,30,0.0,0,30,0
1,level_1_simple,,,temporal_boundary_minus_low_boundary,30,0.0,0,30,0
1,level_1_simple,,,visual_boundary_minus_low_boundary,30,-0.05,0,27,3
2,level_2_randomized,,,audio_boundary_minus_low_boundary,30,0.016666666666666666,2,27,1
2,level_2_randomized,,,temporal_boundary_minus_low_boundary,30,0.016666666666666666,2,27,1
2,level_2_randomized,,,visual_boundary_minus_low_boundary,30,-0.15,0,21,9
3,level_3_non_target_static_distractors,,,audio_boundary_minus_low_boundary,30,0.016666666666666666,1,29,0
3,level_3_non_target_static_distractors,,,temporal_boundary_minus_low_boundary,30,0.0,1,28,1
3,level_3_non_target_static_distractors,,,visual_boundary_minus_low_boundary,30,-0.05,0,27,3
4,level_4_target_like_static_distractors,,,audio_boundary_minus_low_boundary,30,0.0,0,30,0
4,level_4_target_like_static_distractors,,,temporal_boundary_minus_low_boundary,30,0.0,0,30,0
4,level_4_target_like_static_distractors,,,visual_boundary_minus_low_boundary,30,-0.13333333333333333,0,22,8
5,level_5_target_like_moving_distractors,,,audio_boundary_minus_low_boundary,30,0.03333333333333333,3,26,1
5,level_5_target_like_moving_distractors,,,temporal_boundary_minus_low_boundary,30,0.05,4,25,1
5,level_5_target_like_moving_distractors,,,visual_boundary_minus_low_boundary,30,-0.08333333333333333,0,25,5
6,level_6_hard_temporal_interference,,,audio_boundary_minus_low_boundary,30,0.05,3,27,0
6,level_6_hard_temporal_interference,,,temporal_boundary_minus_low_boundary,30,0.06666666666666667,4,26,0
6,level_6_hard_temporal_interference,,,visual_boundary_minus_low_boundary,30,-0.016666666666666666,2,25,3
