difficulty_level,condition,video_pairs,prompt_accuracy,strict_both_correct,accuracy_strict_gap_d,position_sensitive_rate,both_wrong_rate,both_correct_count,exactly_one_correct_count,both_wrong_count
1,audio_boundary,30,1.0,1.0,0.0,0.0,0.0,30,0,0
1,low_boundary,30,1.0,1.0,0.0,0.0,0.0,30,0,0
1,temporal_boundary,30,1.0,1.0,0.0,0.0,0.0,30,0,0
1,visual_boundary,30,0.95,0.9,0.04999999999999993,0.1,0.0,27,3,0
2,audio_boundary,30,0.95,0.9,0.04999999999999993,0.1,0.0,27,3,0
2,low_boundary,30,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.13333333333333333,0.0,26,4,0
2,temporal_boundary,30,0.95,0.9,0.04999999999999993,0.1,0.0,27,3,0
2,visual_boundary,30,0.7833333333333333,0.6,0.18333333333333335,0.36666666666666664,0.03333333333333333,18,11,1
3,audio_boundary,30,1.0,1.0,0.0,0.0,0.0,30,0,0
3,low_boundary,30,0.9833333333333333,0.9666666666666667,0.016666666666666607,0.03333333333333333,0.0,29,1,0
3,temporal_boundary,30,0.9833333333333333,0.9666666666666667,0.016666666666666607,0.03333333333333333,0.0,29,1,0
3,visual_boundary,30,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.13333333333333333,0.0,26,4,0
4,audio_boundary,30,0.9833333333333333,0.9666666666666667,0.016666666666666607,0.03333333333333333,0.0,29,1,0
4,low_boundary,30,0.9833333333333333,0.9666666666666667,0.016666666666666607,0.03333333333333333,0.0,29,1,0
4,temporal_boundary,30,0.9833333333333333,0.9666666666666667,0.016666666666666607,0.03333333333333333,0.0,29,1,0
4,visual_boundary,30,0.85,0.7,0.15000000000000002,0.3,0.0,21,9,0
5,audio_boundary,30,0.8666666666666667,0.7333333333333333,0.13333333333333341,0.26666666666666666,0.0,22,8,0
5,low_boundary,30,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.3333333333333333,0.0,20,10,0
5,temporal_boundary,30,0.8833333333333333,0.7666666666666667,0.11666666666666659,0.23333333333333334,0.0,23,7,0
5,visual_boundary,30,0.75,0.5,0.25,0.5,0.0,15,15,0
6,audio_boundary,30,0.8666666666666667,0.7333333333333333,0.13333333333333341,0.26666666666666666,0.0,22,8,0
6,low_boundary,30,0.8166666666666667,0.6666666666666666,0.15000000000000002,0.3,0.03333333333333333,20,9,1
6,temporal_boundary,30,0.8833333333333333,0.7666666666666667,0.11666666666666659,0.23333333333333334,0.0,23,7,0
6,visual_boundary,30,0.8,0.6,0.20000000000000007,0.4,0.0,18,12,0
