difficulty_level,difficulty_name,condition,category,count,proportion
1,level_1_simple,audio_boundary,both_correct,30,1.0
1,level_1_simple,low_boundary,both_correct,30,1.0
1,level_1_simple,temporal_boundary,both_correct,30,1.0
1,level_1_simple,visual_boundary,both_correct,27,0.9
1,level_1_simple,visual_boundary,original_wrong_swapped_correct,3,0.1
2,level_2_randomized,audio_boundary,both_correct,27,0.9
2,level_2_randomized,audio_boundary,original_wrong_swapped_correct,3,0.1
2,level_2_randomized,low_boundary,both_correct,26,0.8666666666666667
2,level_2_randomized,low_boundary,original_wrong_swapped_correct,4,0.13333333333333333
2,level_2_randomized,temporal_boundary,both_correct,27,0.9
2,level_2_randomized,temporal_boundary,original_wrong_swapped_correct,3,0.1
2,level_2_randomized,visual_boundary,both_correct,18,0.6
2,level_2_randomized,visual_boundary,both_wrong,1,0.03333333333333333
2,level_2_randomized,visual_boundary,original_wrong_swapped_correct,11,0.36666666666666664
3,level_3_non_target_static_distractors,audio_boundary,both_correct,30,1.0
3,level_3_non_target_static_distractors,low_boundary,both_correct,29,0.9666666666666667
3,level_3_non_target_static_distractors,low_boundary,original_wrong_swapped_correct,1,0.03333333333333333
3,level_3_non_target_static_distractors,temporal_boundary,both_correct,29,0.9666666666666667
3,level_3_non_target_static_distractors,temporal_boundary,original_wrong_swapped_correct,1,0.03333333333333333
3,level_3_non_target_static_distractors,visual_boundary,both_correct,26,0.8666666666666667
3,level_3_non_target_static_distractors,visual_boundary,original_wrong_swapped_correct,4,0.13333333333333333
4,level_4_target_like_static_distractors,audio_boundary,both_correct,29,0.9666666666666667
4,level_4_target_like_static_distractors,audio_boundary,original_wrong_swapped_correct,1,0.03333333333333333
4,level_4_target_like_static_distractors,low_boundary,both_correct,29,0.9666666666666667
4,level_4_target_like_static_distractors,low_boundary,original_wrong_swapped_correct,1,0.03333333333333333
4,level_4_target_like_static_distractors,temporal_boundary,both_correct,29,0.9666666666666667
4,level_4_target_like_static_distractors,temporal_boundary,original_wrong_swapped_correct,1,0.03333333333333333
4,level_4_target_like_static_distractors,visual_boundary,both_correct,21,0.7
4,level_4_target_like_static_distractors,visual_boundary,original_wrong_swapped_correct,9,0.3
5,level_5_target_like_moving_distractors,audio_boundary,both_correct,22,0.7333333333333333
5,level_5_target_like_moving_distractors,audio_boundary,original_wrong_swapped_correct,8,0.26666666666666666
5,level_5_target_like_moving_distractors,low_boundary,both_correct,20,0.6666666666666666
5,level_5_target_like_moving_distractors,low_boundary,original_wrong_swapped_correct,10,0.3333333333333333
5,level_5_target_like_moving_distractors,temporal_boundary,both_correct,23,0.7666666666666667
5,level_5_target_like_moving_distractors,temporal_boundary,original_wrong_swapped_correct,7,0.23333333333333334
5,level_5_target_like_moving_distractors,visual_boundary,both_correct,15,0.5
5,level_5_target_like_moving_distractors,visual_boundary,original_wrong_swapped_correct,15,0.5
6,level_6_hard_temporal_interference,audio_boundary,both_correct,22,0.7333333333333333
6,level_6_hard_temporal_interference,audio_boundary,original_wrong_swapped_correct,8,0.26666666666666666
6,level_6_hard_temporal_interference,low_boundary,both_correct,20,0.6666666666666666
6,level_6_hard_temporal_interference,low_boundary,both_wrong,1,0.03333333333333333
6,level_6_hard_temporal_interference,low_boundary,original_wrong_swapped_correct,9,0.3
6,level_6_hard_temporal_interference,temporal_boundary,both_correct,23,0.7666666666666667
6,level_6_hard_temporal_interference,temporal_boundary,original_wrong_swapped_correct,7,0.23333333333333334
6,level_6_hard_temporal_interference,visual_boundary,both_correct,18,0.6
6,level_6_hard_temporal_interference,visual_boundary,original_wrong_swapped_correct,12,0.4
